AXISBANK,1278,12
BAJAJFINSV,1696,18
BAJFINANCE,885,9
BANKBARODA,263,3
BEL,406.5,4
BHARTIARTL,1803,18
BHEL,385,4
BPCL,295.5,3
BRITANNIA,5114,50
COALINDIA,471,5
COLPAL,2000,20
CONCOR,451,4
DABUR,426,4
GAIL,167.7,2
GRASIM,3098,30
HAL,4215,45
HAVELLS,1156,12
HDFCAMC,2486,25
HDFCBANK,745,8
HDFCLIFE,574,6
HINDALCO,1091,12
HINDPETRO,387,4
HINDUNILVR,2131,20
ICICIBANK,1266,12
INFY,1198,12
IOC,139,2
IRCTC,530,5
IRFC,97.2,1.5
ITC,282,3
KOTAKBANK,377,4
LICI,398,4
NHPC,75.1,1.5
NMDC,92,2
NTPC,362,4
OIL,485,5
ONGC,264,3
PFC,432,4
POWERGRID,285,3
RECLTD,343,3
RELIANCE,1298,15
RVNL,235,3
SBILIFE,1783,18
SBIN,981,10
TATASTEEL,208,3
TITAN,4246,40
